"Gene","DPI3.lfc","DPI3.padj","DPI4.lfc","DPI4.padj","DPI5.lfc","DPI5.padj"
"7SK",0.00617915776170076,0.979276848377697,0.105528409376713,0.426090421753106,0.119965636783771,0.427637668799401
"A1BG",0.0715767950729328,0.240184533763996,0.108361856183703,0.00808195932861744,5.54930310442766,0.00022507161227993
"A1CF",0.101406255385348,0.0998862732245263,5.86559352378009,0.00151964686919525,0.170554545901488,0.00147348326105665
"A2M",0.0501053148128864,0.848597360276677,-0.0300930042667938,0.906107737902603,-0.204826642100606,0.375695683854143
"A4GALT",0.35462157637335,0.197879321650416,0.220407489737126,0.361546005549754,0.104518856079248,0.67757963714656
"A4GNT",0.0818965959518418,0.644330402924523,0.0595038802598923,0.724523470250523,0.0407647496173066,0.832046265738561
"AACS",0.0411810863797009,0.893810574121205,0.0145366693440775,0.96337069982037,0.0124132081783407,0.964749662663366
"AADAC",0.837400779682631,0.063967312402954,0.226767819071997,0.245950809887607,0.912585635197802,0.0518220344995761
"AADAT",-0.0707779571162869,0.79163311286213,-0.128010626199992,0.587943125878277,-0.180789293495682,0.45966508821228
"AAGAB",-0.600469343273574,0.00500273521752823,-0.607772757262458,0.00540116235056703,-0.502324499909841,0.0171680994651286
"AAK1",0.38854603131033,0.150073981342451,0.312225036298705,0.215532036400314,0.689302942054107,0.0226537789469625
"AAMDC",-0.0467902379939751,0.871834840172535,-0.0510785698376386,0.826831538587147,-0.0278367553770476,0.913422155554987
"AAR2",0.0381274104550235,0.901225431784077,-0.10150065562274,0.681473535698133,-0.058978133303811,0.818217879897311
"AARD",-1.21821257646094,0.00186787055815911,-0.964291270178729,0.0124655831090419,-0.574486673177117,0.0751005808572818
"AARS1",0.273502679895815,0.121215505775868,0.209190440314305,0.254843022010502,0.214575633804054,0.234613527522034
"AARS2",0.385549104115081,0.0380244424888217,0.241561783567206,0.208932338692568,0.340789469302191,0.0649909912259559
"AARSD1",0.0696766025494254,0.797816419895894,-0.0431618535931593,0.876664786334023,0.137386015027025,0.580507441418762
"AASDH",-0.0510884506214419,0.831889956697572,-0.0252658593248549,0.927929594181158,0.0280516031824215,0.912385217227624
"AASDHPPT",-0.298771695807279,0.0230000527210815,-0.238333208895216,0.0874188266941155,-0.300428207352935,0.0206038206243004
"AASS",0.208486235375482,0.378190720948855,0.307773736471153,0.222618251105001,0.116945040152903,0.616934975460131
"AATF",0.255265419479182,0.106137042104248,0.222648822817089,0.172411063417552,-0.000330138608746869,0.997191813660249
"AATK",-0.0565067108439265,0.836947831506766,-0.0407880633498764,0.887653884092739,-0.176306855675342,0.466486789459889
"ABAT",-0.00519094613438878,0.984796327726546,0.122331413857664,0.604632530156301,0.0790768621391588,0.760758689428111
"ABCA1",-0.0801121685863619,0.70295616561069,-0.0289092461379595,0.897369479171034,-0.109369922342211,0.593847552321015
"ABCA10",0.0120720742954664,0.954980874139303,0.0229092387104077,0.902544468423608,-0.0606827970644518,0.719663494291581
"ABCA12",0.0568982885466878,0.734882663747447,0.00235926513666426,0.99061505403469,-0.0365340015171539,0.831004386964032
"ABCA2",0.0356171557559295,0.895306467889221,-0.0579414329259402,0.830570702748388,-0.00174742666550942,0.997141870714689
"ABCA3",0.729361350570039,0.0468194005594589,0.491840256500311,0.119725596692864,0.420835812545329,0.156010194888287
"ABCA4",0.131714625593124,0.555614576470549,0.0897484033646785,0.675220382447671,0.119070278484736,0.596463283035561
"ABCA5",-0.0695626085693868,0.790716592110468,-0.0757869750898792,0.76701912985509,-0.182863751585639,0.418621699657592
"ABCA6",0.0504876956085816,0.823057948092846,-0.00189797593310306,0.991369162471721,-0.109112516192022,0.581261873548891
"ABCA7",0.00911352385167734,0.974957491766058,0.121039852975192,0.572854927413426,0.204916986452883,0.383656489226182
"ABCA8",0.0528120702550578,0.817630173829806,0.0198240351199255,0.935081906153977,-0.0687886521780561,0.738243733815163
"ABCA9",0.115244140971767,0.541417999416247,-0.0152145975005863,0.943247640788134,0.0694121268429475,0.729398588265938
"ABCB1",0.180810240776024,0.437105568804431,0.12096437286058,0.58323380855607,0.173091720074863,0.460225892965206
"ABCB10",-0.150521869215964,0.433001291392423,-0.261445012371306,0.146010637122201,-0.197830259067323,0.281335788539372
"ABCB6",-0.0146847811625206,0.960870651870764,-0.0859769636459436,0.730752732054994,0.0652076702765322,0.804983310614374
"ABCB7",-0.0439696542706437,0.859732848739758,-0.114431236068098,0.59918296684763,-0.227653316597333,0.236601075988256
"ABCB8",0.362512674028484,0.0948732137597594,0.295670792157377,0.173104423680423,0.459374314004393,0.0352691230618091
"ABCB9",0.649309449059994,0.0720661906953483,0.476484298475929,0.127970442435544,0.135666858983865,0.564067429693256
"ABCC1",-0.318250223546708,0.130601760204532,-0.434276567683789,0.0434009637139608,-0.298757871708664,0.155699856320201
"ABCC10",0.490610154010515,0.056396422659461,0.37010245264729,0.133514319440981,0.657527474526534,0.0117475609467024
"ABCC12",-0.207612655705541,0.00426705815909949,-0.121789528435815,0.085534362935428,-0.0928159957828984,0.367820494028106
"ABCC2",0.158343861067328,0.475410317843657,0.0532871633197992,0.811373138282832,0.234168480690611,0.32278844640794
"ABCC3",0.0331200571911421,0.910076562538803,0.17517482188038,0.466507733902818,0.115428013916645,0.644802396927378
"ABCC4",0.832866539771178,0.0071571373741826,0.647209134967155,0.0336395613934132,0.998871698994464,0.00128170017338621
"ABCC5",0.0496392401038207,0.857133687824897,0.0686836890294448,0.796609447179436,0.0185205358228688,0.948263384549831
"ABCC6",0.00300082344079243,0.988753189513392,-0.0605683925888402,0.746581380013846,0.164044635227688,0.428045072462743
"ABCC8",0.230431227747487,0.227315334149859,0.786736956759434,0.079886731805033,0.123421041670322,0.491344485819729
"ABCC9",-0.0315605675937551,0.884422338949229,-0.0486114522258157,0.79865305063788,-0.120424538008954,0.513466954331579
"ABCD2",-0.00830342432519652,0.968311053751047,0.0132830709476231,0.950847025388676,-0.239341567168795,0.195986893005124
"ABCD3",0.0514366106803728,0.856203728108479,0.0207885882124195,0.946947799455846,-0.096423353445533,0.691398873718621
"ABCD4",0.119174491508105,0.631521531217054,0.0353754755825193,0.905016543212449,0.328566358432229,0.159696340668091
