"Gene","DPI3.lfc","DPI3.padj","DPI4.lfc","DPI4.padj","DPI5.lfc","DPI5.padj"
"7SK",2.99848595453569,6.43143549501577e-07,1.70353594815518,0.00415934584554124,2.20252187524756,0.000279436360214893
"A1BG",6.50251353165861,4.31435897770346e-09,7.88299889749192,3.73243292681512e-13,7.26943005035615,3.36424700427396e-11
"A1CF",4.8432011723298,3.0714017516117e-06,6.44293360315039,1.79809140785132e-10,5.62039834307266,4.12884690441775e-08
"A2M",0.808115363876216,0.0766872883323811,0.658922596554161,0.166888475551559,0.203016321586802,0.282509684473427
"A2ML1",-0.128113752523593,0.416273792114725,-0.0747686645280899,0.803857707333756,-0.0270496590552538,0.779516976150782
"A4GALT",-0.482438750596965,0.176842607673229,-0.0669089933292465,0.903315812086719,-0.0664661321413502,0.748844628111522
"A4GNT",0.206573916907847,0.392678210351003,0.432515828452663,0.263043358396298,0.0617362847745493,0.610811741190943
"AACS",-0.113496879598607,0.70352484332292,-0.0892228673337551,0.869079482244956,-0.0192806621961066,0.968884377327772
"AADAC",4.26626262157338,3.36713962879241e-05,5.57074268803493,2.60164854872127e-08,5.14725045442642,3.91775004570034e-07
"AADACL2",-0.153766763946617,0.261158219890689,-0.0306629113639403,0.932441498088094,0.0190942205703232,0.884301637583187
"AADAT",0.502587351776638,0.185563143087696,2.64629177612438,2.8642688664786e-06,1.37369464822527,0.0172633741034862
"AAGAB",-0.0124874370005029,0.95004659283497,0.121415268934218,0.623000982874401,0.0175350216013358,0.976210263509893
"AAK1",0.653248157513789,0.0105493960456644,0.291584458027755,0.368331459968701,0.242698218562111,0.349103861227129
"AAMDC",-0.289720673857089,0.306790115950168,-0.0998418723425037,0.835236600569455,-0.0801559562459445,0.818041566819905
"AAR2",0.0136758433457475,0.941258253362298,-0.0443919320650773,0.881180961522913,-0.007198670715664,0.988574895692951
"AARD",1.7764722338632,0.0304222229077975,-0.0343915162259021,0.944508436731104,0.0112796505978862,0.96574590639285
"AARS1",0.369581618125848,0.0479568606958778,0.240956773976871,0.292867528230706,0.164913771360465,0.504672531150686
"AARS2",-0.0151324359032696,0.935824226996249,0.180382012502768,0.370455093514569,0.163979684950326,0.418188608343415
"AARSD1",0.0307175266280718,0.910583095207158,0.0554292618987485,0.905035426322598,-0.062340533974779,0.877535959092523
"AASDH",0.182251704286734,0.428943581163689,-0.0289528731748406,0.949685128350729,-0.0174681568727782,0.978650057901147
"AASDHPPT",-0.0905342037845435,0.633905761710221,-0.0169699960981038,0.963001919320464,-0.0934335396351626,0.763395420730502
"AASS",-0.225134637714439,0.306189440856329,-0.118265130688127,0.739071394777341,-0.000547601003132841,0.998431513936841
"AATF",-0.0394890215264433,0.885125849705605,0.118742712662618,0.756154703203246,0.00930693020903393,0.988407047318943
"AATK",0.0660399867302303,0.786489372543695,1.29434027784566,0.0693168424727315,0.0645689798938348,0.627936213714763
"ABAT",0.0944547117561302,0.759454898508461,0.802160712351807,0.0411270485118345,0.115348174435059,0.670025110203352
"ABCA1",-0.0364990397450226,0.900362321062207,-0.050150031671917,0.924636915956117,0.143663951525261,0.6434427520573
"ABCA10",-0.397728011408658,0.238247050636539,-0.604542783262432,0.172134690404469,-0.0571552376506103,0.842652971088019
"ABCA12",-0.501013006889216,0.159436538730753,-0.183641509094454,0.66737171275932,5.3744297854362e-05,0.999126409664024
"ABCA13",-0.0251429827156507,0.914441993493688,-0.203954287306167,0.525455611349767,-0.0214283987161317,0.901002152461109
"ABCA2",0.33112269201723,0.218745452007979,0.36605454642468,0.257523990768388,0.0966713444812184,0.781444165535333
"ABCA3",0.120751447873404,0.528732879974597,0.0112855884617136,0.977658827222122,0.0841882515168328,0.801917106039046
"ABCA4",-0.22323453442864,0.441289046681981,-0.227847578674581,0.598903627511545,-0.013751853645412,0.971933613881608
"ABCA5",-0.272254414822121,0.251499837578491,-0.197287482464694,0.547657242368019,-0.17527114943121,0.528632811903023
"ABCA6",-0.281091715494241,0.359263756898558,-0.0754286788464991,0.894392069610691,-0.0557064733620592,0.824055960487239
"ABCA7",0.103318086331454,0.735063760329628,0.447768520455309,0.252691298806235,0.141234459220369,0.605538197971372
"ABCA8",-0.167847249784918,0.522881709962774,-0.305559727342753,0.453294657378469,0.00502019217263763,0.988407047318943
"ABCA9",-0.33846400487837,0.241633454554946,-1.11232261343996,0.063041800398631,-0.0230465662229042,0.921196102369876
"ABCB1",0.196916125139562,0.524030097923446,0.880804711226569,0.044784292700084,0.180674422117836,0.410135697376897
"ABCB10",-0.080701688853435,0.708241915168828,-0.129144340433912,0.670240007448144,-0.132576041569541,0.651614896801371
"ABCB11",2.86627669047129,0.000343281341269908,1.29373339473927,0.0624020382330084,0.162970427282197,0.128569935776302
"ABCB6",-0.341986302275136,0.156930347892941,-0.105837610886037,0.790390971282886,-0.101320014254804,0.76615899710942
"ABCB7",-0.497759298627379,0.0128278010667716,-0.447743824292379,0.0313293123871145,-0.194007250636863,0.419638503415432
"ABCB8",-0.107008053072599,0.566456723716653,0.303313815913569,0.111575011658635,0.223246181557336,0.254470318570477
"ABCB9",0.596320868449609,0.102255378314486,0.712208252165901,0.0743427205773,0.170266605307619,0.49422846357143
"ABCC1",-0.510820776059835,0.0432947267291027,-0.378067434270862,0.183929139455229,-0.131314250815253,0.67368869577397
"ABCC10",0.411364435114601,0.0712604075531369,0.308810505720056,0.252276836068916,0.160861574691606,0.578859516767788
"ABCC11",0.271833703276539,0.341536321097485,1.75257122701673,0.0124713812430861,0.111509337599148,0.367963254931649
